University Name,University ID,No. of Male,No. of Female,Total Students,Within State,Outside State
Indian Institute of Science,IR-1-O-O-U-0220,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Madras,IR-2-O-OE-U-0456,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Bombay,IR-3-O-OEM-U-0306,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Delhi,IR-3-O-OEM-I-1074,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Kharagpur,IR-5-O-OEMAL-U-0573,858.0,1906.0,2764.0,893.0,1838.0
Jawaharlal Nehru University,IR-1-O-O-U-0109,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Kanpur,IR-3-O-OEM-I-1075,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Roorkee,IR-4-O-OEMA-U-0560,858.0,1906.0,2764.0,893.0,1838.0
Banaras Hindu University,IR-3-O-OMD-U-0500,858.0,1906.0,2764.0,893.0,1838.0
Anna University,IR-4-O-OEMA-U-0439,858.0,1906.0,2764.0,893.0,1838.0
University of Hyderabad,IR-1-O-O-U-0042,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Guwahati,IR-2-O-OE-U-0053,858.0,1906.0,2764.0,893.0,1838.0
Jadavpur University,IR-2-O-OE-U-0575,858.0,1906.0,2764.0,893.0,1838.0
University of Delhi,IR-1-O-O-U-0120,858.0,1906.0,2764.0,893.0,1838.0
Amrita Vishwa Vidyapeetham,IR-1-O-O-U-0436,858.0,1906.0,2764.0,893.0,1838.0
Savitribai Phule Pune University,IR-1-O-O-U-0323,858.0,1906.0,2764.0,893.0,1838.0
Aligarh Muslim University,IR-7-O-OEMALDC-U-0496,858.0,1906.0,2764.0,893.0,1838.0
Manipal Academy of Higher Education,IR-1-O-O-U-0234,858.0,1906.0,2764.0,893.0,1838.0
Jamia Millia Islamia,IR-5-O-OEMAL-U-0108,858.0,1906.0,2764.0,893.0,1838.0
Bharathiar University,IR-1-O-C-U-0447,858.0,1906.0,2764.0,893.0,1838.0
Calcutta University,IR-1-O-O-U-0570,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Hyderabad,IR-2-O-OE-U-0013,858.0,1906.0,2764.0,893.0,1838.0
King George`s Medical University,IR-1-O-D-U-0523,858.0,1906.0,2764.0,893.0,1838.0
Vellore Institute of Technology,IR-3-O-OEM-U-0490,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Science Education & Research Kolkata,IR-1-O-O-U-0572,858.0,1906.0,2764.0,893.0,1838.0
Birla Institute of Technology & Science,IR-3-O-OEP-U-0391,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology (Indian School of Mines) Dhanbad,IR-2-O-OE-U-0205,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology (Banaras Hindu University) Varanasi,IR-1-O-E-U-0701,858.0,1906.0,2764.0,893.0,1838.0
University of Madras,IR-1-O-O-I-1357,858.0,1906.0,2764.0,893.0,1838.0
Institute of Chemical Technology,IR-3-O-OEP-U-0308,858.0,1906.0,2764.0,893.0,1838.0
National Institute of Technology Tiruchirappalli,IR-2-O-OE-U-0467,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Science Education & Research Pune,IR-1-O-O-U-0305,858.0,1906.0,2764.0,893.0,1838.0
Panjab University,IR-6-O-OEMLDP-U-0078,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Management Calcutta,IR-1-O-M-S-8972,858.0,1906.0,2764.0,893.0,1838.0
Bharath Institute of Higher Education & Research,IR-1-O-O-U-0446,858.0,1906.0,2764.0,893.0,1838.0
Andhra University,IR-6-O-OEMALP-U-0006,858.0,1906.0,2764.0,893.0,1838.0
Jamia Hamdard,IR-5-O-OEMDP-U-0107,858.0,1906.0,2764.0,893.0,1838.0
Siksha `O` Anusandhan,IR-2-O-OD-U-0363,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Gandhinagar,IR-2-O-OE-U-0139,858.0,1906.0,2764.0,893.0,1838.0
Tamil Nadu Agricultural University,IR-1-O-O-U-0485,858.0,1906.0,2764.0,893.0,1838.0
Homi Bhabha National Institute,IR-1-O-O-U-0304,858.0,1906.0,2764.0,893.0,1838.0
National Institute of Technology Rourkela,IR-2-O-OE-U-0357,858.0,1906.0,2764.0,893.0,1838.0
Alagappa University,IR-1-O-C-U-0435,858.0,1906.0,2764.0,893.0,1838.0
"Indian Institute of Engineering Science and Technology, Shibpur",IR-2-O-OE-U-0584,858.0,1906.0,2764.0,893.0,1838.0
Osmania University,IR-1-O-O-U-0027,858.0,1906.0,2764.0,893.0,1838.0
Tezpur University,IR-1-O-O-U-0056,858.0,1906.0,2764.0,893.0,1838.0
Kerala University,IR-1-O-O-U-0260,858.0,1906.0,2764.0,893.0,1838.0
Visva Bharati,IR-1-O-O-U-0589,858.0,1906.0,2764.0,893.0,1838.0
Tata Institute of Social Sciences,IR-1-O-O-U-0331,858.0,1906.0,2764.0,893.0,1838.0
Thapar Institute of Engineering and Technology,IR-2-O-EM-I-1480,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Technology Bhubaneswar,IR-2-O-OE-U-0355,858.0,1906.0,2764.0,893.0,1838.0
Mahatma Gandhi University,IR-1-O-O-U-0262,858.0,1906.0,2764.0,893.0,1838.0
G. B. Pant Universtiy of Agriculture and Technology,IR-1-O-O-U-0554,858.0,1906.0,2764.0,893.0,1838.0
Shanmugha Arts Science Technology & Research Academy,IR-4-O-OEML-U-0476,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Science Education & Research Mohali,IR-1-O-O-U-0377,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Science Education & Research Bhopal,IR-1-O-O-U-0272,858.0,1906.0,2764.0,893.0,1838.0
National Institute of Technology Surathkal,IR-2-O-OE-U-0237,858.0,1906.0,2764.0,893.0,1838.0
Indian Institute of Science Education & Research Thiruvananthapuram,IR-1-O-O-U-0254,858.0,1906.0,2764.0,893.0,1838.0
JSS Academy of Higher Education and Research,IR-2-O-OP-U-0222,858.0,1906.0,2764.0,893.0,1838.0
Punjab Agricultural University,IR-1-O-O-U-0381,858.0,1906.0,2764.0,893.0,1838.0
Gauhati University,IR-1-O-O-U-0052,858.0,1906.0,2764.0,893.0,1838.0
Sri Ramachandra Medical College and Research Institute,IR-3-O-ODP-I-1486,858.0,1906.0,2764.0,893.0,1838.0
SRM Institute of Science and Technology,IR-5-O-OEMDP-U-0473,858.0,1906.0,2764.0,893.0,1838.0
PSG College of Technology,IR-3-O-OEM-C-37013,858.0,1906.0,2764.0,893.0,1838.0
